Name,Date,End Date,County,Acreage,Containment
Willow Fire,6/6/2019,6/11/2019,Contra Costa,23,100%
Sand Fire,6/8/2019,6/17/2019,Yolo,2512,100%
Rock Fire,6/26/2019,6/27/2019,Stanislaus,2422,100%
Fellow Fire,7/5/2019,7/5/2019,Contra Costa,24,100%
Marsh Complex,8/2/2019,8/6/2019,Contra Costa,757,100%
Sellers Fire,8/7/2019,8/7/2019,Contra Costa,58,100%
Merrill Fire,10/9/2019,10/10/2019,Contra Costa,40,100%
Nustar Fire,10/15/2019,10/15/2019,Contra Costa,15,100%
Kincade Fire,10/23/2019,11/6/2019,Sonoma,77758,100%
Forest Fire,10/27/2019,10/28/2019,Contra Costa,50,100%
Sky Fire,10/27/2019,10/28/2019,Contra Costa,150,100%
Cypress Complex,10/27/2019,10/28/2019,Contra Costa,200,100%
