Site,Parameter,Date (LST),Value,Unit,QCCode,OPCode
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/07/25 00:00,8.67,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/07/26 00:00,6.78,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/07/27 00:00,7.53,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/07/28 00:00,12.63,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/07/29 00:00,13.38,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/07/30 00:00,8.92,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/07/31 00:00,10.08,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/01 00:00,4.36,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/02 00:00,3.48,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/03 00:00,3.41,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/04 00:00,5.44,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/05 00:00,8.06,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/06 00:00,9.39,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/07 00:00,8.76,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/08 00:00,6.89,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/09 00:00,4.57,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/10 00:00,2.9,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/11 00:00,5.13,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/12 00:00,6.58,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/13 00:00,8.17,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/14 00:00,7.84,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/15 00:00,8.4,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/16 00:00,11.16,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/17 00:00,11.36,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/18 00:00,5.8,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/19 00:00,5.08,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/20 00:00,5.46,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/21 00:00,5.81,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/22 00:00,5.07,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/23 00:00,7.97,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/24 00:00,7.37,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/25 00:00,6.85,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/26 00:00,5.27,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/27 00:00,3.94,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/28 00:00,7.07,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/29 00:00,9.31,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/30 00:00,8.17,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/08/31 00:00,6.69,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/01 00:00,4.2,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/02 00:00,5.97,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/03 00:00,5.39,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/04 00:00,5.43,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/05 00:00,4.52,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/06 00:00,4.57,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/07 00:00,4.07,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/08 00:00,4.69,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/09 00:00,5.2,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/10 00:00,6.15,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/11 00:00,6.09,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/12 00:00,8.69,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/13 00:00,10.62,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/14 00:00,8.38,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/15 00:00,5.36,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/16 00:00,4.08,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/17 00:00,4.7,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/18 00:00,4.59,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/19 00:00,4.23,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/20 00:00,3.85,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/21 00:00,4.26,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/22 00:00,5.47,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/23 00:00,5.46,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/24 00:00,4.92,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/25 00:00,5.4,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/26 00:00,9.03,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/27 00:00,4,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/28 00:00,8.05,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/29 00:00,6.07,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/09/30 00:00,4.63,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/01 00:00,3.9,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/02 00:00,4.02,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/03 00:00,5.58,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/04 00:00,4.48,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/05 00:00,5.77,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/06 00:00,5.93,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/07 00:00,6.67,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/08 00:00,7.02,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/09 00:00,7.82,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/10 00:00,5.79,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/11 00:00,9.27,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/12 00:00,13.74,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/13 00:00,11.64,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/14 00:00,12.47,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/15 00:00,16.82,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/16 00:00,9.82,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/17 00:00,5.05,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/18 00:00,8.25,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/19 00:00,7.57,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/20 00:00,4.96,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/21 00:00,4.79,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/22 00:00,5.24,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/23 00:00,6.16,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/24 00:00,5.04,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/25 00:00,10.15,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/26 00:00,13.29,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/27 00:00,26.14,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/28 00:00,43.15,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/29 00:00,17.95,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/30 00:00,6.77,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/10/31 00:00,9.31,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/01 00:00,10.7,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/02 00:00,13.42,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/03 00:00,12.79,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/04 00:00,15.45,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/05 00:00,18.85,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/06 00:00,20.61,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/07 00:00,20.58,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/08 00:00,21.84,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/09 00:00,20.88,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/10 00:00,19.72,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/11 00:00,11.39,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/12 00:00,19.57,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/13 00:00,20.19,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/14 00:00,9.94,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/15 00:00,5.58,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/16 00:00,8.55,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/17 00:00,12.8,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/18 00:00,21.04,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/19 00:00,8.04,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/20 00:00,5.73,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/21 00:00,10.54,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/22 00:00,13.09,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/23 00:00,12.63,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/24 00:00,12.27,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/25 00:00,7.85,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/26 00:00,5.62,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/27 00:00,4.5,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/28 00:00,7.97,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/29 00:00,6.5,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/11/30 00:00,12.24,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/01 00:00,6.63,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/02 00:00,7.23,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/03 00:00,5.05,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/04 00:00,11.01,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/05 00:00,14.68,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/06 00:00,12.89,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/07 00:00,3.11,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/08 00:00,6.69,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/09 00:00,6.71,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/10 00:00,14.35,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/11 00:00,26.58,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/12 00:00,10.08,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/13 00:00,6.04,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/14 00:00,4.12,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/15 00:00,3.92,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/16 00:00,5.47,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/17 00:00,15.73,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/18 00:00,9.32,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/19 00:00,8.02,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/20 00:00,15.17,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/21 00:00,25.6,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/22 00:00,10.35,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/23 00:00,5.69,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/24 00:00,7.48,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/25 00:00,6.23,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/26 00:00,3.77,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/27 00:00,5.85,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/28 00:00,7.95,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/29 00:00,9.01,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/30 00:00,7.76,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2019/12/31 00:00,6.77,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/01 00:00,10.43,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/02 00:00,4.7,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/03 00:00,24.56,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/04 00:00,10.27,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/05 00:00,5.74,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/06 00:00,6.38,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/07 00:00,11.19,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/08 00:00,5.49,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/09 00:00,6.25,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/10 00:00,6.47,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/11 00:00,5.5,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/12 00:00,4.69,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/13 00:00,3.76,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/14 00:00,5.82,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/15 00:00,6.41,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/16 00:00,3.25,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/17 00:00,10.66,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/18 00:00,9.27,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/19 00:00,11.92,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/20 00:00,23.64,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/21 00:00,4.66,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/22 00:00,6.29,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/23 00:00,9.24,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/24 00:00,8.45,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/25 00:00,12.58,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/26 00:00,4.18,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/27 00:00,6.28,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/28 00:00,6.83,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/29 00:00,7.24,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/30 00:00,7.59,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/01/31 00:00,10.17,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/01 00:00,23.34,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/02 00:00,6.65,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/03 00:00,3.6,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/04 00:00,3.8,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/05 00:00,5.24,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/06 00:00,10.29,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/07 00:00,19.57,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/08 00:00,12.35,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/09 00:00,3.07,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/10 00:00,3.94,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/11 00:00,3.12,ug/m3,0,0
